agency_cd	site_no	datetime	148640_00060_00003	148640_00060_00003_cd	148641_00065_00003	148641_00065_00003_cd
USGS	12080010	1990-09-30			24.40	A
USGS	12080010	1990-10-01	89.0	A	24.42	A
USGS	12080010	1990-10-02	88.0	A	24.41	A
USGS	12080010	1990-10-03	98.0	A	24.47	A
USGS	12080010	1990-10-04	98.0	A	24.48	A
USGS	12080010	1990-10-05	105	A	24.51	A
USGS	12080010	1990-10-06	108	A	24.53	A
USGS	12080010	1990-10-07	101	A	24.49	A
USGS	12080010	1990-10-08	98.0	A	24.47	A
USGS	12080010	1990-10-09	93.0	A	24.44	A
USGS	12080010	1990-10-10	92.0	A	24.44	A
USGS	12080010	1990-10-11	94.0	A	24.45	A
USGS	12080010	1990-10-12	102	A	24.50	A
USGS	12080010	1990-10-13	103	A	24.50	A
USGS	12080010	1990-10-14	117	A	24.58	A
USGS	12080010	1990-10-15	122	A	24.61	A
USGS	12080010	1990-10-16	134	A	24.67	A
USGS	12080010	1990-10-17	134	A	24.68	A
USGS	12080010	1990-10-18	138	A	24.69	A
USGS	12080010	1990-10-19	179	A	24.89	A
USGS	12080010	1990-10-20	152	A	24.76	A
USGS	12080010	1990-10-21	163	A	24.81	A
USGS	12080010	1990-10-22	200	A	24.97	A
USGS	12080010	1990-10-23	185	A	24.91	A
USGS	12080010	1990-10-24	159	A	24.80	A
USGS	12080010	1990-10-25	146	A	24.73	A
USGS	12080010	1990-10-26	139	A	24.70	A
USGS	12080010	1990-10-27	147	A	24.74	A
USGS	12080010	1990-10-28	151	A	24.76	A
USGS	12080010	1990-10-29	194	A	24.95	A
USGS	12080010	1990-10-30	299	A	25.30	A
USGS	12080010	1990-10-31	377	A	25.56	A
USGS	12080010	1990-11-01	305	A	25.34	A
USGS	12080010	1990-11-02	250	A	25.16	A
USGS	12080010	1990-11-03	223	A	25.06	A
USGS	12080010	1990-11-04	204	A	24.99	A
USGS	12080010	1990-11-05	197	A	24.96	A
USGS	12080010	1990-11-06	184	A	24.91	A
USGS	12080010	1990-11-07	179	A	24.89	A
USGS	12080010	1990-11-08	179	A	24.89	A
USGS	12080010	1990-11-09	230	A	25.08	A
USGS	12080010	1990-11-10	908	A	26.64	A
USGS	12080010	1990-11-11	656	A	26.20	A
USGS	12080010	1990-11-12	430	A	25.70	A
USGS	12080010	1990-11-13	448	A	25.73	A
USGS	12080010	1990-11-14	970	A	26.77	A
USGS	12080010	1990-11-15	712	A	26.32	A
USGS	12080010	1990-11-16	534	A	25.95	A
USGS	12080010	1990-11-17	440	A	25.73	A
USGS	12080010	1990-11-18	381	A	25.57	A
USGS	12080010	1990-11-19	329	A	25.42	A
USGS	12080010	1990-11-20	309	A	25.36	A
USGS	12080010	1990-11-21	317	A	25.38	A
USGS	12080010	1990-11-22	631	A	26.09	A
USGS	12080010	1990-11-23	1370	A	27.34	A
USGS	12080010	1990-11-24	2180	A	28.51	A
USGS	12080010	1990-11-25	3950	A	30.47	A
USGS	12080010	1990-11-26	2190	A	28.51	A
USGS	12080010	1990-11-27	1210	A	27.11	A
USGS	12080010	1990-11-28	846	A	26.56	A
USGS	12080010	1990-11-29	749	A	26.39	A
USGS	12080010	1990-11-30	899	A	26.65	A
USGS	12080010	1990-12-01	1030	A	26.85	A
USGS	12080010	1990-12-02	1150	A	27.03	A
USGS	12080010	1990-12-03	869	A	26.60	A
USGS	12080010	1990-12-04	1280	A	27.17	A
USGS	12080010	1990-12-05	2410	A	28.45	A
USGS	12080010	1990-12-06	1230	A	27.15	A
USGS	12080010	1990-12-07	865	A	26.59	A
USGS	12080010	1990-12-08	709	A	26.31	A
USGS	12080010	1990-12-09	645	A	26.19	A
USGS	12080010	1990-12-10	672	A	26.24	A
USGS	12080010	1990-12-11	677	A	26.25	A
USGS	12080010	1990-12-12	622	A	26.14	A
USGS	12080010	1990-12-13	562	A	26.01	A
USGS	12080010	1990-12-14	509	A	25.89	A
USGS	12080010	1990-12-15	466	A	25.79	A
USGS	12080010	1990-12-16	431	A	25.70	A
USGS	12080010	1990-12-17	417	A	25.67	A
USGS	12080010	1990-12-18	493	A	25.85	A
USGS	12080010	1990-12-19	507	A	25.89	A
USGS	12080010	1990-12-20	448	A	25.75	A
USGS	12080010	1990-12-21	398	A	25.62	A
USGS	12080010	1990-12-22	392	A	25.60	A
USGS	12080010	1990-12-23	364	A	25.52	A
USGS	12080010	1990-12-24	331	A	25.43	A
USGS	12080010	1990-12-25	325	A	25.41	A
USGS	12080010	1990-12-26	318	A	25.39	A
USGS	12080010	1990-12-27	351	A	25.49	A
USGS	12080010	1990-12-28	397	A	25.61	A
USGS	12080010	1990-12-29	348	A	25.48	A
USGS	12080010	1990-12-30	327	A	25.41	A
USGS	12080010	1990-12-31	329	A	25.42	A
USGS	12080010	1991-01-01	333	A	25.43	A
USGS	12080010	1991-01-02	330	A	25.42	A
USGS	12080010	1991-01-03	314	A	25.38	A
USGS	12080010	1991-01-04	302	A	25.34	A
USGS	12080010	1991-01-05	289	A	25.30	A
