agency_cd	site_no	datetime	148640_00060_00003	148640_00060_00003_cd	148641_00065_00003	148641_00065_00003_cd
USGS	12080010	2007-10-01	99.5	A	24.64	A
USGS	12080010	2007-10-02	136	A	24.77	A
USGS	12080010	2007-10-03	187	A	24.95	A
USGS	12080010	2007-10-04	222	A	25.08	A
USGS	12080010	2007-10-05	199	A	25.01	A
USGS	12080010	2007-10-06	163	A	24.88	A
USGS	12080010	2007-10-07	145	A	24.81	A
USGS	12080010	2007-10-08	139	A	24.79	A
USGS	12080010	2007-10-09	153	A	24.84	A
USGS	12080010	2007-10-10	142	A	24.80	A
USGS	12080010	2007-10-11	140	A	24.79	A
USGS	12080010	2007-10-12	149	A	24.82	A
USGS	12080010	2007-10-13	139	A	24.79	A
USGS	12080010	2007-10-14	132	A	24.76	A
USGS	12080010	2007-10-15	125	A	24.73	A
USGS	12080010	2007-10-16	122	A	24.72	A
USGS	12080010	2007-10-17	124	A	24.73	A
USGS	12080010	2007-10-18	140	A	24.79	A
USGS	12080010	2007-10-19	184	A	24.95	A
USGS	12080010	2007-10-20	475	A	25.77	A
USGS	12080010	2007-10-21	527	A	25.91	A
USGS	12080010	2007-10-22	403	A	25.61	A
USGS	12080010	2007-10-23	310	A	25.36	A
USGS	12080010	2007-10-24	256	A	25.19	A
USGS	12080010	2007-10-25	221	A	25.08	A
USGS	12080010	2007-10-26	194	A	24.99	A
USGS	12080010	2007-10-27	177	A	24.93	A
USGS	12080010	2007-10-28	166	A	24.89	A
USGS	12080010	2007-10-29	156	A	24.85	A
USGS	12080010	2007-10-30	149	A	24.82	A
USGS	12080010	2007-10-31	141	A	24.79	A
USGS	12080010	2007-11-01	136	A	24.78	A
USGS	12080010	2007-11-02	131	A	24.76	A
USGS	12080010	2007-11-03	127	A	24.74	A
USGS	12080010	2007-11-04	124	A	24.73	A
USGS	12080010	2007-11-05	121	A	24.72	A
USGS	12080010	2007-11-06	121	A	24.72	A
